Ticker,Full_Ticker,Name,Sector,Industry_GICS,Index_Membership,Market_Cap,Net_Debt,Minority_Interest,EV,EBITDA,Net_Income,Equity,Avg_EBITDA_Margin_Forecast_10y,EBITDA_Forecast_CAGR_10y,Avg_Net_Income_Margin_Forecast_10y,Net_Income_Forecast_CAGR_10y,ROE,Beta_5y,Net_Debt_perc_EV,EV_TTM_EBITDA,Market_Cap_TTM_Net_Income,Market_Cap_BV_Equity
PG,NYSE:PG,The Procter & Gamble Company,Consumer Staples,Household Products,"Dow Jones Composite Average, Dow Jones Industrial Average, Russell 1000, Russell 3000, S&P 100, S&P 500, S&P 500 Consumer Staples Sector"," 338,590 "," 18,263 ", 394 ," 357,247 "," 20,041 "," 13,711 "," 48,576 ",29%,3%,20%,3%,29%, 0.36 ,5%,17.8, 24.7 , 7.0 
NVDA,NASDAQGS:NVDA,NVIDIA Corporation,Information Technology,Semiconductors & Semiconductor Equipment,"Nasdaq 100, Nasdaq Composite, Russell 1000, Russell 3000, S&P 100, S&P 500, S&P 500 Information Techonology Sector"," 328,769 ","-2,458 ", -   ," 326,311 "," 5,119 "," 3,826 "," 15,334 ",26%,7%,39%,14%,29%, 1.47 ,-1%,63.7, 85.9 , 21.4 
JPM,NYSE:JPM,JPMorgan Chase & Co.,Financials,Banks,"Dow Jones Composite Average, Dow Jones Industrial Average, Russell 1000, Russell 3000, S&P 100, S&P 500, S&P 500 Financial Sector"," 370,875 ","-642,402 ", -   ,"-271,527 ", -   ," 25,515 "," 271,113 ",8%,3%,26%,0%,10%, 1.21 ,237%,, 14.5 , 1.4 
UNH,NYSE:UNH,UnitedHealth Group Incorporated,Healthcare,Healthcare Providers & Services,"Dow Jones Composite Average, Dow Jones Industrial Average, Russell 1000, Russell 3000, S&P 100, S&P 500, S&P 500 Healthcare Sector"," 317,864 "," 26,244 "," 4,720 "," 348,828 "," 26,139 "," 16,732 "," 69,951 ",10%,5%,6%,5%,28%, 0.73 ,8%,13.3, 19.0 , 4.5 
MA,NYSE:MA,Mastercard Incorporated,Information Technology,IT Services,"Russell 1000, Russell 3000, S&P 100, S&P 500, S&P 500 Information Techonology Sector"," 331,218 "," 1,949 ", 85 ," 333,252 "," 9,029 "," 6,726 "," 5,881 ",63%,6%,49%,6%,125%, 1.18 ,1%,36.9, 49.2 , 56.3 
HD,NYSE:HD,"The Home Depot, Inc.",Consumer Discretionary,Specialty Retail,"Dow Jones Composite Average, Dow Jones Industrial Average, Russell 1000, Russell 3000, S&P 100, S&P 500, S&P 500 Consumer Discretionary Sector"," 290,725 "," 26,392 ", -   ," 317,117 "," 21,929 "," 12,490 "," 1,535 ",16%,4%,10%,4%,1627%, 1.05 ,8%,14.5, 23.3 , 189.4 
VZ,NYSE:VZ,Verizon Communications Inc.,Communication Services,Diversified Telecommunication Services,"Dow Jones Composite Average, Dow Jones Industrial Average, Russell 1000, Russell 3000, S&P 100, S&P 500, S&P 500 Communication Services Sector"," 244,106 "," 129,495 "," 1,461 "," 375,062 "," 47,530 "," 18,308 "," 66,530 ",37%,0%,16%,1%,30%, 0.40 ,35%,7.9, 13.3 , 3.7 
PYPL,NASDAQGS:PYPL,"PayPal Holdings, Inc.",Information Technology,IT Services,"Nasdaq 100, Nasdaq Composite, Russell 1000, Russell 3000, S&P 100, S&P 500, S&P 500 Information Techonology Sector"," 285,295 ","-4,494 ", 44 ," 280,845 "," 4,030 "," 3,142 "," 18,527 ",32%,15%,24%,15%,18%, 1.10 ,-2%,69.7, 90.8 , 15.4 
ADBE,NASDAQGS:ADBE,Adobe Inc.,Information Technology,Software,"Nasdaq 100, Nasdaq Composite, Russell 1000, Russell 3000, S&P 100, S&P 500, S&P 500 Information Techonology Sector"," 241,860 ","-1,284 ", -   ," 240,576 "," 4,993 "," 5,260 "," 13,264 ",50%,8%,37%,4%,44%, 0.97 ,-1%,48.2, 46.0 , 18.2 
CRM,NYSE:CRM,"salesforce.com, inc.",Information Technology,Software,"Dow Jones Composite Average, Dow Jones Industrial Average, Russell 1000, Russell 3000, S&P 100, S&P 500, S&P 500 Information Techonology Sector"," 211,623 ","-3,269 ", -   ," 208,354 "," 2,022 "," 3,557 "," 40,310 ",31%,19%,17%,49%,10%, 1.21 ,-2%,103.0, 59.5 , 5.2 
NFLX,NASDAQGS:NFLX,"Netflix, Inc.",Communication Services,Entertainment,"Nasdaq 100, Nasdaq Composite, Russell 1000, Russell 3000, S&P 100, S&P 500, S&P 500 Communication Services Sector"," 232,972 "," 9,745 ", -   ," 242,717 "," 4,201 "," 2,806 "," 10,333 ",26%,17%,17%,17%,33%, 0.93 ,4%,57.8, 83.0 , 22.5 
DIS,NYSE:DIS,The Walt Disney Company,Communication Services,Entertainment,"Dow Jones Composite Average, Dow Jones Industrial Average, Russell 1000, Russell 3000, S&P 100, S&P 500, S&P 500 Communication Services Sector"," 308,597 "," 44,409 "," 13,929 "," 366,935 "," 9,709 ","-2,864 "," 97,512 ",23%,11%,12%,NM,-3%, 1.17 ,12%,37.8,  , 3.2 
KO,NYSE:KO,The Coca-Cola Company,Consumer Staples,Beverages,"Dow Jones Composite Average, Dow Jones Industrial Average, Russell 1000, Russell 3000, S&P 100, S&P 500, S&P 500 Consumer Staples Sector"," 226,733 "," 31,735 "," 1,709 "," 260,177 "," 11,313 "," 8,333 "," 20,316 ",34%,3%,26%,3%,45%, 0.57 ,12%,23.0, 27.2 , 11.2 
BAC,NYSE:BAC,Bank of America Corporation,Financials,Banks,"Russell 1000, Russell 3000, S&P 100, S&P 500, S&P 500 Financial Sector"," 252,690 ","-286,028 ", -   ,"-33,338 ", -   ," 19,418 "," 268,850 ",3%,7%,23%,0%,7%, 1.59 ,858%,, 13.0 , 0.9 
PFE,NYSE:PFE,Pfizer Inc.,Healthcare,Pharmaceuticals,"Russell 1000, Russell 3000, S&P 100, S&P 500, S&P 500 Healthcare Sector"," 204,215 "," 52,633 ", 236 ," 257,084 "," 19,320 "," 8,686 "," 65,495 ",46%,0%,35%,0%,13%, 0.65 ,20%,13.3, 23.5 , 3.1 
MRK,NYSE:MRK,"Merck & Co., Inc.",Healthcare,Pharmaceuticals,"Dow Jones Composite Average, Dow Jones Industrial Average, Russell 1000, Russell 3000, S&P 100, S&P 500, S&P 500 Healthcare Sector"," 200,935 "," 21,379 ", 84 ," 222,398 "," 19,006 "," 11,517 "," 29,270 ",43%,4%,32%,7%,41%, 0.44 ,10%,11.7, 17.4 , 6.9 
CMCS.A,NASDAQGS:CMCS.A,Comcast Corporation,Communication Services,Media,"Nasdaq 100, Nasdaq Composite, Russell 1000, Russell 3000, S&P 100, S&P 500, S&P 500 Communication Services Sector"," 228,858 "," 95,884 "," 2,649 "," 327,391 "," 31,847 "," 10,316 "," 88,825 ",31%,2%,14%,4%,13%, 1.02 ,29%,10.3, 22.2 , 2.6 
NKE,NYSE:NKE,"NIKE, Inc.",Consumer Discretionary,"Textiles, Apparel & Luxury Goods","Dow Jones Composite Average, Dow Jones Industrial Average, Russell 1000, Russell 3000, S&P 100, S&P 500, S&P 500 Consumer Discretionary Sector"," 223,622 ", 993 , -   ," 224,615 "," 4,889 "," 2,826 "," 10,640 ",17%,9%,13%,12%,28%, 0.85 ,0%,45.9, 79.1 , 21.0 
T,NYSE:T,AT&T Inc.,Communication Services,Diversified Telecommunication Services,"Russell 1000, Russell 3000, S&P 100, S&P 500, S&P 500 Communication Services Sector"," 202,351 "," 177,849 "," 19,503 "," 399,703 "," 54,941 "," 11,101 "," 195,056 ",33%,1%,14%,5%,6%, 0.67 ,44%,7.3, 18.2 , 1.0 
TMO,NYSE:TMO,Thermo Fisher Scientific Inc.,Healthcare,Life Sciences Tools & Services,"Russell 1000, Russell 3000, S&P 100, S&P 500, S&P 500 Healthcare Sector"," 184,375 "," 13,567 ", -   ," 197,942 "," 8,361 "," 4,879 "," 31,824 ",29%,4%,24%,8%,16%, 0.86 ,7%,23.7, 37.8 , 5.8 
ABT,NYSE:ABT,Abbott Laboratories,Healthcare,Healthcare Equipment & Supplies,"Russell 1000, Russell 3000, S&P 100, S&P 500, S&P 500 Healthcare Sector"," 185,527 "," 13,832 ", 209 ," 199,568 "," 7,823 "," 3,382 "," 31,595 ",29%,5%,20%,10%,11%, 0.83 ,7%,25.5, 54.9 , 5.9 
PEP,NASDAQGS:PEP,"PepsiCo, Inc.",Consumer Staples,Beverages,"Nasdaq 100, Nasdaq Composite, Russell 1000, Russell 3000, S&P 100, S&P 500, S&P 500 Consumer Staples Sector"," 199,029 "," 34,866 ", 112 ," 234,007 "," 12,583 "," 7,041 "," 13,595 ",20%,4%,12%,4%,51%, 0.58 ,15%,18.6, 28.3 , 14.6 
INTC,NASDAQGS:INTC,Intel Corporation,Information Technology,Semiconductors & Semiconductor Equipment,"Dow Jones Composite Average, Dow Jones Industrial Average, Nasdaq 100, Nasdaq Composite, Russell 1000, Russell 3000, S&P 100, S&P 500, S&P 500 Information Techonology Sector"," 189,205 "," 17,829 ", -   ," 207,034 "," 37,046 "," 21,947 "," 74,554 ",45%,1%,27%,1%,29%, 0.73 ,9%,5.6, 8.6 , 2.5 
ORCL,NYSE:ORCL,Oracle Corporation,Information Technology,Software,"Russell 1000, Russell 3000, S&P 100, S&P 500, S&P 500 Information Techonology Sector"," 191,804 "," 32,309 ", 699 ," 224,812 "," 17,271 "," 10,380 "," 8,616 ",51%,4%,33%,4%,88%, 0.74 ,14%,13.0, 18.5 , 22.3 
DHR,NYSE:DHR,Danaher Corporation,Healthcare,Healthcare Equipment & Supplies,"Russell 1000, Russell 3000, S&P 100, S&P 500, S&P 500 Healthcare Sector"," 158,364 "," 17,073 ", 12 ," 175,449 "," 5,608 "," 3,681 "," 37,973 ",30%,8%,21%,11%,9%, 0.69 ,10%,31.3, 43.0 , 4.2 
COST,NASDAQGS:COST,Costco Wholesale Corporation,Consumer Staples,Food & Staples Retailing,"Nasdaq 100, Nasdaq Composite, Russell 1000, Russell 3000, S&P 100, S&P 500, S&P 500 Consumer Staples Sector"," 160,363 ","-4,224 ", 449 ," 156,588 "," 8,284 "," 4,324 "," 15,309 ",4%,3%,2%,4%,28%, 0.67 ,-3%,18.9, 37.1 , 10.5 
MCD,NYSE:MCD,McDonald's Corporation,Consumer Discretionary,"Hotels, Restaurants & Leisure","Dow Jones Composite Average, Dow Jones Industrial Average, Russell 1000, Russell 3000, S&P 100, S&P 500, S&P 500 Consumer Discretionary Sector"," 157,904 "," 47,603 ", -   ," 205,507 "," 8,963 "," 4,926 ","-8,472 ",51%,3%,29%,3%,NM, 0.58 ,23%,22.9, 32.1 ,  
ASML,NASDAQGS:ASML,ASML Holding N.V.,Information Technology,Semiconductors & Semiconductor Equipment,"Nasdaq 100, Nasdaq Composite"," 198,819 ", 219 , -   ," 199,038 "," 4,230 "," 3,337 "," 13,743 ",36%,10%,29%,9%,26%, 0.88 ,0%,47.1, 59.6 , 14.5 
CSCO,NASDAQGS:CSCO,"Cisco Systems, Inc.",Information Technology,Communications Equipment,"Dow Jones Composite Average, Dow Jones Industrial Average, Nasdaq 100, Nasdaq Composite, Russell 1000, Russell 3000, S&P 100, S&P 500, S&P 500 Information Techonology Sector"," 188,838 ","-14,423 ", -   ," 174,415 "," 15,220 "," 10,462 "," 38,157 ",36%,3%,28%,4%,29%, 0.94 ,-8%,11.5, 18.0 , 4.9 
ZM,NASDAQGS:ZM,"Zoom Video Communications, Inc.",Information Technology,Software,"Nasdaq 100, Nasdaq Composite, Russell 1000, Russell 3000"," 116,977 ","-1,802 ", -   ," 115,175 ", 448 , 427 ," 1,500 ",35%,53%,30%,55%,37%, -   ,-2%,256.9, 273.9 , 78.0 
NEE,NYSE:NEE,"NextEra Energy, Inc.",Utilities,Electric Utilities,"Dow Jones Composite Average, Dow Jones Utilities Average, Russell 1000, Russell 3000, S&P 100, S&P 500, S&P 500 Utilities Sector"," 146,362 "," 46,335 "," 4,940 "," 197,637 "," 9,618 "," 3,899 "," 42,227 ",58%,4%,24%,5%,11%, 0.15 ,23%,20.5, 37.5 , 3.5 
ABBV,NYSE:ABBV,AbbVie Inc.,Healthcare,Biotechnology,"Russell 1000, Russell 3000, S&P 100, S&P 500, S&P 500 Healthcare Sector"," 181,491 "," 79,135 ", 19 ," 260,645 "," 18,372 "," 7,381 "," 15,289 ",52%,8%,41%,14%,96%, 0.82 ,30%,14.2, 24.6 , 11.9 
AVGO,NASDAQGS:AVGO,Broadcom Inc.,Information Technology,Semiconductors & Semiconductor Equipment,"Nasdaq 100, Nasdaq Composite, Russell 1000, Russell 3000, S&P 500, S&P 500 Information Techonology Sector"," 176,147 "," 34,071 ", -   ," 210,218 "," 11,040 "," 2,960 "," 23,901 ",59%,5%,45%,19%,11%, 1.03 ,16%,19.0, 59.5 , 7.4 
MDT,NYSE:MDT,Medtronic plc,Healthcare,Healthcare Equipment & Supplies,"Russell 1000, Russell 3000, S&P 100, S&P 500, S&P 500 Healthcare Sector"," 154,294 "," 15,704 ", 152 ," 170,150 "," 6,556 "," 3,707 "," 50,316 ",32%,5%,24%,6%,7%, 0.70 ,9%,26.0, 41.6 , 3.1 
QCOM,NASDAQGS:QCOM,QUALCOMM Incorporated,Information Technology,Semiconductors & Semiconductor Equipment,"Nasdaq 100, Nasdaq Composite, Russell 1000, Russell 3000, S&P 100, S&P 500, S&P 500 Information Techonology Sector"," 165,511 "," 5,112 ", -   ," 170,623 "," 7,620 "," 5,198 "," 6,077 ",38%,7%,27%,7%,95%, 1.36 ,3%,22.4, 31.8 , 27.2 
TMUS,NASDAQGS:TMUS,"T-Mobile US, Inc.",Communication Services,Wireless Telecommunication Services,"Nasdaq 100, Nasdaq Composite, Russell 1000, Russell 3000, S&P 500, S&P 500 Communication Services Sector"," 164,147 "," 96,016 ", -   ," 260,163 "," 20,092 "," 3,065 "," 64,487 ",36%,10%,8%,9%,6%, 0.53 ,37%,12.9, 53.6 , 2.5 
ACN,NYSE:ACN,Accenture plc,Information Technology,IT Services,"Russell 1000, Russell 3000, S&P 100, S&P 500, S&P 500 Information Techonology Sector"," 164,565 ","-5,248 ", 520 ," 159,837 "," 7,409 "," 5,251 "," 18,426 ",19%,4%,11%,3%,32%, 1.08 ,-3%,21.6, 31.3 , 8.9 
UPS,NYSE:UPS,"United Parcel Service, Inc.",Industrials,Air Freight & Logistics,"Dow Jones Composite Average, Dow Jones Transportation Average, Russell 1000, Russell 3000, S&P 100, S&P 500, S&P 500 Industrials Sector"," 150,889 "," 19,510 ", 14 ," 170,413 "," 8,655 "," 4,584 "," 5,606 ",14%,7%,9%,8%,82%, 1.00 ,11%,19.7, 32.9 , 26.9 
AZN,NASDAQGS:AZN,AstraZeneca PLC,Healthcare,Pharmaceuticals,Nasdaq Composite," 128,928 "," 16,173 "," 1,423 "," 146,524 "," 7,705 "," 2,497 "," 13,618 ",38%,11%,25%,23%,21%, 0.23 ,11%,19.0, 51.6 , 9.5 
XOM,NYSE:XOM,Exxon Mobil Corporation,Energy,"Oil, Gas & Consumable Fuels","Russell 1000, Russell 3000, S&P 100, S&P 500, S&P 500 Energy Sector"," 174,372 "," 59,967 "," 7,212 "," 241,551 "," 18,672 "," 3,320 "," 184,612 ",15%,4%,5%,1%,2%, 1.33 ,25%,12.9, 52.5 , 0.9 
TXN,NASDAQGS:TXN,Texas Instruments Incorporated,Information Technology,Semiconductors & Semiconductor Equipment,"Nasdaq 100, Nasdaq Composite, Russell 1000, Russell 3000, S&P 100, S&P 500, S&P 500 Information Techonology Sector"," 149,184 "," 1,279 ", -   ," 150,463 "," 6,376 "," 4,977 "," 8,325 ",49%,3%,38%,4%,57%, 1.08 ,1%,23.6, 30.0 , 17.9 
BMY,NYSE:BMY,Bristol-Myers Squibb Company,Healthcare,Pharmaceuticals,"Russell 1000, Russell 3000, S&P 100, S&P 500, S&P 500 Healthcare Sector"," 138,817 "," 24,032 ", 72 ," 162,921 "," 16,818 ",-44 ," 50,230 ",50%,12%,37%,20%,0%, 0.65 ,15%,9.7,  , 2.8 
CVX,NYSE:CVX,Chevron Corporation,Energy,"Oil, Gas & Consumable Fuels","Dow Jones Composite Average, Dow Jones Industrial Average, Russell 1000, Russell 3000, S&P 100, S&P 500, S&P 500 Energy Sector"," 162,420 "," 27,916 ", 264 ," 190,600 "," 15,761 ","-11,488 "," 132,038 ",24%,4%,6%,16%,-8%, 1.33 ,15%,12.1,  , 1.2 
AMGN,NASDAQGS:AMGN,Amgen Inc.,Healthcare,Biotechnology,"Dow Jones Composite Average, Dow Jones Industrial Average, Nasdaq 100, Nasdaq Composite, Russell 1000, Russell 3000, S&P 100, S&P 500, S&P 500 Healthcare Sector"," 128,653 "," 21,927 ", -   ," 150,580 "," 12,647 "," 7,352 "," 10,959 ",59%,5%,38%,4%,67%, 0.75 ,15%,11.9, 17.5 , 11.7 
JD,NASDAQGS:JD,"JD.com, Inc.",Consumer Discretionary,Internet & Direct Marketing Retail,"Nasdaq 100, Nasdaq Composite"," 128,314 ","-87,547 "," 24,518 "," 65,286 "," 16,721 "," 28,714 "," 175,077 ",6%,26%,6%,24%,25%, 0.91 ,-134%,3.9, 4.5 , 0.7 
LOW,NYSE:LOW,"Lowe's Companies, Inc.",Consumer Discretionary,Specialty Retail,"Russell 1000, Russell 3000, S&P 100, S&P 500, S&P 500 Consumer Discretionary Sector"," 120,614 "," 16,144 ", -   ," 136,758 "," 10,803 "," 5,367 "," 4,073 ",14%,6%,8%,7%,164%, 1.36 ,12%,12.7, 22.5 , 29.6 
LLY,NYSE:LLY,Eli Lilly and Company,Healthcare,Pharmaceuticals,"Russell 1000, Russell 3000, S&P 100, S&P 500, S&P 500 Healthcare Sector"," 151,145 "," 12,333 ", 169 ," 163,648 "," 7,742 "," 5,573 "," 4,996 ",39%,4%,29%,6%,136%, 0.34 ,8%,21.1, 27.1 , 30.3 
CHTR,NASDAQGS:CHTR,"Charter Communications, Inc.",Communication Services,Media,"Nasdaq 100, Nasdaq Composite, Russell 1000, Russell 3000, S&P 100, S&P 500, S&P 500 Communication Services Sector"," 128,140 "," 79,718 "," 6,806 "," 214,664 "," 17,523 "," 2,690 "," 33,712 ",40%,4%,10%,14%,9%, 1.01 ,37%,12.3, 47.6 , 3.8 
UNP,NYSE:UNP,Union Pacific Corporation,Industrials,Road & Rail,"Dow Jones Composite Average, Dow Jones Transportation Average, Russell 1000, Russell 3000, S&P 100, S&P 500, S&P 500 Industrials Sector"," 135,798 "," 27,000 ", -   ," 162,798 "," 10,204 "," 5,372 "," 17,199 ",55%,3%,30%,3%,31%, 1.12 ,17%,16.0, 25.3 , 7.9 
SNY,NASDAQGS:SNY,Sanofi,Healthcare,Pharmaceuticals,Nasdaq Composite," 120,891 "," 8,959 ", -   ," 129,850 "," 10,755 "," 11,223 "," 63,486 ",33%,4%,22%,13%,19%, 0.40 ,7%,12.1, 10.8 , 1.9 
LIN,NYSE:LIN,Linde plc,Materials,Chemicals,"Russell 1000, Russell 3000, S&P 500, S&P 500 Materials Sector"," 132,688 "," 12,604 "," 2,417 "," 147,709 "," 8,418 "," 2,242 "," 48,592 ",33%,4%,17%,10%,5%, 0.82 ,9%,17.5, 59.2 , 2.7 
HON,NYSE:HON,Honeywell International Inc.,Industrials,Industrial Conglomerates,"Dow Jones Composite Average, Dow Jones Industrial Average, Russell 1000, Russell 3000, S&P 100, S&P 500, S&P 500 Industrials Sector"," 145,909 "," 7,990 ", 246 ," 154,145 "," 7,552 "," 4,982 "," 18,320 ",25%,2%,17%,1%,28%, 1.15 ,5%,20.4, 29.3 , 8.0 
PM,NYSE:PM,Philip Morris International Inc.,Consumer Staples,Tobacco,"Russell 1000, Russell 3000, S&P 100, S&P 500, S&P 500 Consumer Staples Sector"," 127,996 "," 24,669 "," 1,847 "," 154,512 "," 12,371 "," 7,696 ","-10,245 ",45%,4%,29%,5%,NM, 0.77 ,16%,12.5, 16.6 ,  
PDD,NASDAQGS:PDD,Pinduoduo Inc.,Consumer Discretionary,Internet & Direct Marketing Retail,"Nasdaq 100, Nasdaq Composite"," 170,484 ","-36,724 ", -   ," 133,760 ","-8,724 ","-7,555 "," 28,404 ",15%,NM,18%,NM,-28%, 1.55 ,-27%,,  , 6.0 
AMT,NYSE:AMT,American Tower Corporation (REIT),Real Estate,Equity Real Estate Investment Trusts (REITs),"Russell 1000, Russell 3000, S&P 100, S&P 500, S&P 500 Real Estate Sector"," 97,945 "," 30,068 "," 1,012 "," 129,025 "," 4,896 "," 1,888 "," 4,744 ",65%,4%,30%,5%,42%, 0.27 ,23%,26.4, 51.9 , 20.6 
SBUX,NASDAQGS:SBUX,Starbucks Corporation,Consumer Discretionary,"Hotels, Restaurants & Leisure","Nasdaq 100, Nasdaq Composite, Russell 1000, Russell 3000, S&P 100, S&P 500, S&P 500 Consumer Discretionary Sector"," 120,199 "," 20,764 ", 6 ," 140,968 "," 3,103 ", 928 ,"-7,799 ",23%,10%,13%,18%,NM, 0.81 ,15%,45.4, 129.5 ,  
LMT,NYSE:LMT,Lockheed Martin Corporation,Industrials,Aerospace & Defense,"Russell 1000, Russell 3000, S&P 100, S&P 500, S&P 500 Industrials Sector"," 97,342 "," 9,090 ", 33 ," 106,465 "," 9,706 "," 6,539 "," 4,986 ",16%,4%,11%,4%,149%, 0.93 ,9%,11.0, 14.9 , 19.5 
IBM,NYSE:IBM,International Business Machines Corporation,Information Technology,IT Services,"Dow Jones Composite Average, Dow Jones Industrial Average, Russell 1000, Russell 3000, S&P 100, S&P 500, S&P 500 Information Techonology Sector"," 110,144 "," 54,792 ", 126 ," 165,062 "," 15,690 "," 7,904 "," 21,334 ",25%,1%,14%,1%,40%, 1.24 ,33%,10.5, 13.9 , 5.2 
NOW,NYSE:NOW,"ServiceNow, Inc.",Information Technology,Software,"Russell 1000, Russell 3000, S&P 500, S&P 500 Information Techonology Sector"," 109,563 ",-748 , -   ," 108,815 ", 525 , 701 ," 2,674 ",35%,28%,23%,14%,34%, 1.16 ,-1%,207.2, 156.4 , 41.0 
AMD,NASDAQGS:AMD,"Advanced Micro Devices, Inc.",Information Technology,Semiconductors & Semiconductor Equipment,"Nasdaq 100, Nasdaq Composite, Russell 1000, Russell 3000, S&P 500, S&P 500 Information Techonology Sector"," 112,172 ","-1,193 ", -   ," 110,979 "," 1,433 ", 879 ," 3,867 ",29%,21%,22%,29%,29%, 2.27 ,-1%,77.4, 127.6 , 29.0 
BLK,NYSE:BLK,"BlackRock, Inc.",Financials,Capital Markets,"Russell 1000, Russell 3000, S&P 100, S&P 500, S&P 500 Financial Sector"," 105,769 "," 1,672 "," 2,143 "," 109,584 "," 5,908 "," 4,685 "," 36,016 ",44%,5%,32%,4%,14%, 1.19 ,2%,18.5, 22.6 , 2.9 
MMM,NYSE:MMM,3M Company,Industrials,Industrial Conglomerates,"Dow Jones Composite Average, Dow Jones Industrial Average, Russell 1000, Russell 3000, S&P 100, S&P 500, S&P 500 Industrials Sector"," 100,817 "," 15,889 ", 63 ," 116,769 "," 8,597 "," 4,964 "," 11,943 ",27%,2%,17%,4%,44%, 0.92 ,14%,13.6, 20.3 , 8.4 
WFC,NYSE:WFC,Wells Fargo & Company,Financials,Banks,"Russell 1000, Russell 3000, S&P 100, S&P 500, S&P 500 Financial Sector"," 119,735 ","-137,376 ", 859 ,"-16,782 ", -   ," 3,182 "," 182,032 ",7%,-1%,13%,NM,1%, 1.25 ,819%,, 37.6 , 0.7 
